Table,NAME,FMTName,Type,Value,Label,FLAT,METRO
AHS2015,ASTHEMR,ASTHEMR,C,1,Yes,YES,YES
AHS2015,ASTHEMR,ASTHEMR,C,2,No,YES,YES
AHS2015,ASTHEMR,ASTHEMR,C,M,Not Reported,YES,YES
AHS2015,ASTHEMR,ASTHEMR,C,N,Not Applicable,YES,YES
AHS2015,ASTHMA,ASTHMA,C,1,Yes,YES,YES
AHS2015,ASTHMA,ASTHMA,C,2,No,YES,YES
AHS2015,ASTHMA,ASTHMA,C,M,Not Reported,YES,YES
AHS2015,ASTHMA,ASTHMA,C,N,Not Applicable,YES,YES
AHS2015,BATHEXCLU,BATHEXCLU,C,1,Bathroom is outside unit but inside building,YES,YES
AHS2015,BATHEXCLU,BATHEXCLU,C,2,Bathroom is outside building,YES,YES
AHS2015,BATHEXCLU,BATHEXCLU,C,M,Not Reported,YES,YES
AHS2015,BATHEXCLU,BATHEXCLU,C,N,Not Applicable,YES,YES
AHS2015,BATHROOMS,BATHROOMS,C,01,One full bathroom,YES,YES
AHS2015,BATHROOMS,BATHROOMS,C,02,1.5 bathrooms,YES,YES
AHS2015,BATHROOMS,BATHROOMS,C,03,2 bathrooms,YES,YES
AHS2015,BATHROOMS,BATHROOMS,C,04,2.5 bathrooms,YES,YES
AHS2015,BATHROOMS,BATHROOMS,C,05,3 bathrooms,YES,YES
AHS2015,BATHROOMS,BATHROOMS,C,06,More than 3 bathrooms,YES,YES
AHS2015,BATHROOMS,BATHROOMS,C,07,No full bath: Sink and tub present,YES,YES
AHS2015,BATHROOMS,BATHROOMS,C,08,No full bath: Sink and toilet present,YES,YES
AHS2015,BATHROOMS,BATHROOMS,C,09,No full bath: Tub and toilet present,YES,YES
AHS2015,BATHROOMS,BATHROOMS,C,10,No full bath: Sink only,YES,YES
AHS2015,BATHROOMS,BATHROOMS,C,11,No full bath: Tub only,YES,YES
AHS2015,BATHROOMS,BATHROOMS,C,12,No full bath: Toilet only,YES,YES
AHS2015,BATHROOMS,BATHROOMS,C,13,"No full bath: No sink, tub or toilet",YES,YES
AHS2015,BLD,BLD,C,01,Mobile home or trailer,YES,YES
AHS2015,BLD,BLD,C,02,"One-family house, detached",YES,YES
AHS2015,BLD,BLD,C,03,"One-family house, attached",YES,YES
AHS2015,BLD,BLD,C,04,2 Apartments,YES,YES
AHS2015,BLD,BLD,C,05,3-4 Apartments,YES,YES
AHS2015,BLD,BLD,C,06,5-9 Apartments,YES,YES
AHS2015,BLD,BLD,C,07,10-19 Apartments,YES,YES
AHS2015,BLD,BLD,C,08,20-49 Apartments,YES,YES
AHS2015,BLD,BLD,C,09,50 or more apartments,YES,YES
AHS2015,BLD,BLD,C,10,"Boat, RV, van, etc.",YES,YES
AHS2015,CHEMSTOR,CHEMSTOR,C,1,All,YES,YES
AHS2015,CHEMSTOR,CHEMSTOR,C,2,Some,YES,YES
AHS2015,CHEMSTOR,CHEMSTOR,C,3,None,YES,YES
AHS2015,CHEMSTOR,CHEMSTOR,C,M,Not Reported,YES,YES
AHS2015,CHEMSTOR,CHEMSTOR,C,N,Not Applicable,YES,YES
AHS2015,CITSHP1,CITSHP,C,1,"Native, born in US",YES,YES
AHS2015,CITSHP1,CITSHP,C,2,"Native, born in Puerto Rico or US outlying area",YES,YES
AHS2015,CITSHP1,CITSHP,C,3,Native born abroad of US parent(s),YES,YES
AHS2015,CITSHP1,CITSHP,C,4,"Foreign born, US citizen by naturalization",YES,YES
AHS2015,CITSHP1,CITSHP,C,5,"Foreign born, not a US citizen",YES,YES
AHS2015,CITSHP1,CITSHP,C,M,Not Reported,YES,YES
AHS2015,CITSHP1,CITSHP,C,N,Not Applicable,YES,YES
AHS2015,CITSHP10,CITSHP,C,1,"Native, born in US",YES,YES
AHS2015,CITSHP10,CITSHP,C,2,"Native, born in Puerto Rico or US outlying area",YES,YES
AHS2015,CITSHP10,CITSHP,C,3,Native born abroad of US parent(s),YES,YES
AHS2015,CITSHP10,CITSHP,C,4,"Foreign born, US citizen by naturalization",YES,YES
AHS2015,CITSHP10,CITSHP,C,5,"Foreign born, not a US citizen",YES,YES
AHS2015,CITSHP10,CITSHP,C,M,Not Reported,YES,YES
AHS2015,CITSHP10,CITSHP,C,N,Not Applicable,YES,YES
AHS2015,CITSHP11,CITSHP,C,1,"Native, born in US",YES,YES
AHS2015,CITSHP11,CITSHP,C,2,"Native, born in Puerto Rico or US outlying area",YES,YES
AHS2015,CITSHP11,CITSHP,C,3,Native born abroad of US parent(s),YES,YES
AHS2015,CITSHP11,CITSHP,C,4,"Foreign born, US citizen by naturalization",YES,YES
AHS2015,CITSHP11,CITSHP,C,5,"Foreign born, not a US citizen",YES,YES
AHS2015,CITSHP11,CITSHP,C,M,Not Reported,YES,YES
AHS2015,CITSHP11,CITSHP,C,N,Not Applicable,YES,YES
AHS2015,CITSHP12,CITSHP,C,1,"Native, born in US",YES,YES
AHS2015,CITSHP12,CITSHP,C,2,"Native, born in Puerto Rico or US outlying area",YES,YES
AHS2015,CITSHP12,CITSHP,C,3,Native born abroad of US parent(s),YES,YES
AHS2015,CITSHP12,CITSHP,C,4,"Foreign born, US citizen by naturalization",YES,YES
AHS2015,CITSHP12,CITSHP,C,5,"Foreign born, not a US citizen",YES,YES
AHS2015,CITSHP12,CITSHP,C,M,Not Reported,YES,YES
AHS2015,CITSHP12,CITSHP,C,N,Not Applicable,YES,YES
AHS2015,CITSHP13,CITSHP,C,1,"Native, born in US",YES,YES
AHS2015,CITSHP13,CITSHP,C,2,"Native, born in Puerto Rico or US outlying area",YES,YES
AHS2015,CITSHP13,CITSHP,C,3,Native born abroad of US parent(s),YES,YES
AHS2015,CITSHP13,CITSHP,C,4,"Foreign born, US citizen by naturalization",YES,YES
AHS2015,CITSHP13,CITSHP,C,5,"Foreign born, not a US citizen",YES,YES
AHS2015,CITSHP13,CITSHP,C,M,Not Reported,YES,YES
AHS2015,CITSHP13,CITSHP,C,N,Not Applicable,YES,YES
AHS2015,CITSHP14,CITSHP,C,1,"Native, born in US",YES,YES
AHS2015,CITSHP14,CITSHP,C,2,"Native, born in Puerto Rico or US outlying area",YES,YES
AHS2015,CITSHP14,CITSHP,C,3,Native born abroad of US parent(s),YES,YES
AHS2015,CITSHP14,CITSHP,C,4,"Foreign born, US citizen by naturalization",YES,YES
AHS2015,CITSHP14,CITSHP,C,5,"Foreign born, not a US citizen",YES,YES
AHS2015,CITSHP14,CITSHP,C,M,Not Reported,YES,YES
AHS2015,CITSHP14,CITSHP,C,N,Not Applicable,YES,YES
AHS2015,CITSHP15,CITSHP,C,1,"Native, born in US",YES,YES
AHS2015,CITSHP15,CITSHP,C,2,"Native, born in Puerto Rico or US outlying area",YES,YES
AHS2015,CITSHP15,CITSHP,C,3,Native born abroad of US parent(s),YES,YES
AHS2015,CITSHP15,CITSHP,C,4,"Foreign born, US citizen by naturalization",YES,YES
AHS2015,CITSHP15,CITSHP,C,5,"Foreign born, not a US citizen",YES,YES
AHS2015,CITSHP15,CITSHP,C,M,Not Reported,YES,YES
AHS2015,CITSHP15,CITSHP,C,N,Not Applicable,YES,YES
AHS2015,CITSHP16,CITSHP,C,1,"Native, born in US",YES,YES
AHS2015,CITSHP16,CITSHP,C,2,"Native, born in Puerto Rico or US outlying area",YES,YES
AHS2015,CITSHP16,CITSHP,C,3,Native born abroad of US parent(s),YES,YES
AHS2015,CITSHP16,CITSHP,C,4,"Foreign born, US citizen by naturalization",YES,YES
AHS2015,CITSHP16,CITSHP,C,5,"Foreign born, not a US citizen",YES,YES
AHS2015,CITSHP16,CITSHP,C,M,Not Reported,YES,YES
AHS2015,CITSHP16,CITSHP,C,N,Not Applicable,YES,YES
AHS2015,CITSHP2,CITSHP,C,1,"Native, born in US",YES,YES
AHS2015,CITSHP2,CITSHP,C,2,"Native, born in Puerto Rico or US outlying area",YES,YES
AHS2015,CITSHP2,CITSHP,C,3,Native born abroad of US parent(s),YES,YES
AHS2015,CITSHP2,CITSHP,C,4,"Foreign born, US citizen by naturalization",YES,YES
AHS2015,CITSHP2,CITSHP,C,5,"Foreign born, not a US citizen",YES,YES
AHS2015,CITSHP2,CITSHP,C,M,Not Reported,YES,YES
AHS2015,CITSHP2,CITSHP,C,N,Not Applicable,YES,YES
AHS2015,CITSHP3,CITSHP,C,1,"Native, born in US",YES,YES
AHS2015,CITSHP3,CITSHP,C,2,"Native, born in Puerto Rico or US outlying area",YES,YES
AHS2015,CITSHP3,CITSHP,C,3,Native born abroad of US parent(s),YES,YES
AHS2015,CITSHP3,CITSHP,C,4,"Foreign born, US citizen by naturalization",YES,YES
AHS2015,CITSHP3,CITSHP,C,5,"Foreign born, not a US citizen",YES,YES
AHS2015,CITSHP3,CITSHP,C,M,Not Reported,YES,YES
AHS2015,CITSHP3,CITSHP,C,N,Not Applicable,YES,YES
AHS2015,CITSHP4,CITSHP,C,1,"Native, born in US",YES,YES
AHS2015,CITSHP4,CITSHP,C,2,"Native, born in Puerto Rico or US outlying area",YES,YES
AHS2015,CITSHP4,CITSHP,C,3,Native born abroad of US parent(s),YES,YES
AHS2015,CITSHP4,CITSHP,C,4,"Foreign born, US citizen by naturalization",YES,YES
AHS2015,CITSHP4,CITSHP,C,5,"Foreign born, not a US citizen",YES,YES
AHS2015,CITSHP4,CITSHP,C,M,Not Reported,YES,YES
AHS2015,CITSHP4,CITSHP,C,N,Not Applicable,YES,YES
AHS2015,CITSHP5,CITSHP,C,1,"Native, born in US",YES,YES
AHS2015,CITSHP5,CITSHP,C,2,"Native, born in Puerto Rico or US outlying area",YES,YES
AHS2015,CITSHP5,CITSHP,C,3,Native born abroad of US parent(s),YES,YES
AHS2015,CITSHP5,CITSHP,C,4,"Foreign born, US citizen by naturalization",YES,YES
AHS2015,CITSHP5,CITSHP,C,5,"Foreign born, not a US citizen",YES,YES
AHS2015,CITSHP5,CITSHP,C,M,Not Reported,YES,YES
AHS2015,CITSHP5,CITSHP,C,N,Not Applicable,YES,YES
AHS2015,CITSHP6,CITSHP,C,1,"Native, born in US",YES,YES
AHS2015,CITSHP6,CITSHP,C,2,"Native, born in Puerto Rico or US outlying area",YES,YES
AHS2015,CITSHP6,CITSHP,C,3,Native born abroad of US parent(s),YES,YES
AHS2015,CITSHP6,CITSHP,C,4,"Foreign born, US citizen by naturalization",YES,YES
AHS2015,CITSHP6,CITSHP,C,5,"Foreign born, not a US citizen",YES,YES
AHS2015,CITSHP6,CITSHP,C,M,Not Reported,YES,YES
AHS2015,CITSHP6,CITSHP,C,N,Not Applicable,YES,YES
AHS2015,CITSHP7,CITSHP,C,1,"Native, born in US",YES,YES
AHS2015,CITSHP7,CITSHP,C,2,"Native, born in Puerto Rico or US outlying area",YES,YES
AHS2015,CITSHP7,CITSHP,C,3,Native born abroad of US parent(s),YES,YES
AHS2015,CITSHP7,CITSHP,C,4,"Foreign born, US citizen by naturalization",YES,YES
AHS2015,CITSHP7,CITSHP,C,5,"Foreign born, not a US citizen",YES,YES
AHS2015,CITSHP7,CITSHP,C,M,Not Reported,YES,YES
AHS2015,CITSHP7,CITSHP,C,N,Not Applicable,YES,YES
AHS2015,CITSHP8,CITSHP,C,1,"Native, born in US",YES,YES
AHS2015,CITSHP8,CITSHP,C,2,"Native, born in Puerto Rico or US outlying area",YES,YES
AHS2015,CITSHP8,CITSHP,C,3,Native born abroad of US parent(s),YES,YES
AHS2015,CITSHP8,CITSHP,C,4,"Foreign born, US citizen by naturalization",YES,YES
AHS2015,CITSHP8,CITSHP,C,5,"Foreign born, not a US citizen",YES,YES
AHS2015,CITSHP8,CITSHP,C,M,Not Reported,YES,YES
AHS2015,CITSHP8,CITSHP,C,N,Not Applicable,YES,YES
AHS2015,CITSHP9,CITSHP,C,1,"Native, born in US",YES,YES
AHS2015,CITSHP9,CITSHP,C,2,"Native, born in Puerto Rico or US outlying area",YES,YES
AHS2015,CITSHP9,CITSHP,C,3,Native born abroad of US parent(s),YES,YES
AHS2015,CITSHP9,CITSHP,C,4,"Foreign born, US citizen by naturalization",YES,YES
AHS2015,CITSHP9,CITSHP,C,5,"Foreign born, not a US citizen",YES,YES
AHS2015,CITSHP9,CITSHP,C,M,Not Reported,YES,YES
AHS2015,CITSHP9,CITSHP,C,N,Not Applicable,YES,YES
AHS2015,COLD,COLD,C,1,Yes,YES,YES
AHS2015,COLD,COLD,C,2,No,YES,YES
AHS2015,COLD,COLD,C,3,Household did not live in the unit last winter,YES,YES
AHS2015,COLD,COLD,C,M,Not Reported,YES,YES
AHS2015,COLD,COLD,C,N,Not Applicable,YES,YES
AHS2015,COLDCOST,COLDCOST,C,1,Yes,YES,YES
AHS2015,COLDCOST,COLDCOST,C,2,No,YES,YES
AHS2015,COLDCOST,COLDCOST,C,M,Not Reported,YES,YES
AHS2015,COLDCOST,COLDCOST,C,N,Not Applicable,YES,YES
AHS2015,COLDEQ,COLDEQ,C,1,Yes,YES,YES
AHS2015,COLDEQ,COLDEQ,C,2,No,YES,YES
AHS2015,COLDEQ,COLDEQ,C,M,Not Reported,YES,YES
AHS2015,COLDEQ,COLDEQ,C,N,Not Applicable,YES,YES
AHS2015,COLDEQFREQ,COLDEQFREQ,N,0,Never broke down for 6 hours,YES,YES
AHS2015,COLDEQFREQ,COLDEQFREQ,N,8,8 or more breakdowns lasting 6 hours or more,YES,YES
AHS2015,COLDEQFREQ,COLDEQFREQ,N,.M,Not Reported,YES,YES
AHS2015,COLDEQFREQ,COLDEQFREQ,N,.N,Not Applicable,YES,YES
AHS2015,COLDHTCAP,COLDHTCAP,C,1,Yes,YES,YES
AHS2015,COLDHTCAP,COLDHTCAP,C,2,No,YES,YES
AHS2015,COLDHTCAP,COLDHTCAP,C,M,Not Reported,YES,YES
AHS2015,COLDHTCAP,COLDHTCAP,C,N,Not Applicable,YES,YES
AHS2015,COLDINSUL,COLDINSUL,C,1,Yes,YES,YES
AHS2015,COLDINSUL,COLDINSUL,C,2,No,YES,YES
AHS2015,COLDINSUL,COLDINSUL,C,M,Not Reported,YES,YES
AHS2015,COLDINSUL,COLDINSUL,C,N,Not Applicable,YES,YES
AHS2015,COLDOTHER,COLDOTHER,C,1,Yes,YES,YES
AHS2015,COLDOTHER,COLDOTHER,C,2,No,YES,YES
AHS2015,COLDOTHER,COLDOTHER,C,M,Not Reported,YES,YES
AHS2015,COLDOTHER,COLDOTHER,C,N,Not Applicable,YES,YES
AHS2015,COLDUTIL,COLDUTIL,C,1,Yes,YES,YES
AHS2015,COLDUTIL,COLDUTIL,C,2,No,YES,YES
AHS2015,COLDUTIL,COLDUTIL,C,M,Not Reported,YES,YES
AHS2015,COLDUTIL,COLDUTIL,C,N,Not Applicable,YES,YES
AHS2015,CONDO,CONDO,C,1,Yes,YES,YES
AHS2015,CONDO,CONDO,C,2,No,YES,YES
AHS2015,CONDO,CONDO,C,N,Not Applicable,YES,YES
AHS2015,COOKFUEL,COOKFUEL,C,1,Electric,YES,YES
AHS2015,COOKFUEL,COOKFUEL,C,2,Piped gas,YES,YES
AHS2015,COOKFUEL,COOKFUEL,C,3,LP gas,YES,YES
AHS2015,COOKFUEL,COOKFUEL,C,4,Other,YES,YES
AHS2015,COOKFUEL,COOKFUEL,C,5,None,YES,YES
AHS2015,COOKTYPE,COOKTYPE,C,1,"Cooking stove or range with oven, in working order",YES,YES
AHS2015,COOKTYPE,COOKTYPE,C,2,"Built-in cooking burners, no oven in working order",YES,YES
AHS2015,COOKTYPE,COOKTYPE,C,3,"Has microwave, but no oven or burners",YES,YES
AHS2015,COOKTYPE,COOKTYPE,C,4,No working cooking equipment,YES,YES
AHS2015,CROPSL,CROPSL,C,1,Yes,YES,YES
AHS2015,CROPSL,CROPSL,C,2,No,YES,YES
AHS2015,CROPSL,CROPSL,C,M,Not Reported,YES,YES
AHS2015,CROPSL,CROPSL,C,N,Not Applicable,YES,YES
AHS2015,DISHH,DISHH,C,1,At least 1 disabled person in unit,YES,YES
AHS2015,DISHH,DISHH,C,2,No disabled persons in unit,YES,YES
AHS2015,DISHH,DISHH,C,M,Not Reported,YES,YES
AHS2015,DISHH,DISHH,C,N,Not Applicable,YES,YES
AHS2015,DISHWASH,DISHWASH,C,1,Yes,YES,YES
AHS2015,DISHWASH,DISHWASH,C,2,No,YES,YES
AHS2015,DIVISION,DIVISION,C,1,New England,YES,YES
AHS2015,DIVISION,DIVISION,C,2,Middle Atlantic,YES,YES
AHS2015,DIVISION,DIVISION,C,3,East North Central,YES,YES
AHS2015,DIVISION,DIVISION,C,4,West North Central,YES,YES
AHS2015,DIVISION,DIVISION,C,5,South Atlantic,YES,YES
AHS2015,DIVISION,DIVISION,C,6,East South Central,YES,YES
AHS2015,DIVISION,DIVISION,C,7,West South Central,YES,YES
AHS2015,DIVISION,DIVISION,C,8,Mountain,YES,YES
AHS2015,DIVISION,DIVISION,C,9,Pacific,YES,YES
AHS2015,DRYER,DRYER,C,1,Working electric power clothes dryer,YES,YES
AHS2015,DRYER,DRYER,C,2,Working piped gas powered clothes dryer,YES,YES
AHS2015,DRYER,DRYER,C,3,Working LP gas clothes dryer,YES,YES
AHS2015,DRYER,DRYER,C,4,Working other fuel source powered clothes dryer,YES,YES
AHS2015,DRYER,DRYER,C,5,Unit does not have a working clothes dryer,YES,YES
AHS2015,ELECAMT,ELECAMT,N,0,Unit does not use electricity,YES,YES
AHS2015,ELECAMT,ELECAMT,N,1,Vacant home: billed separately,YES,YES
AHS2015,ELECAMT,ELECAMT,N,2,"Occupied or vacant home: included in the rent, site rent, condo fee, other fee, or othe",YES,YES
AHS2015,ELECAMT,ELECAMT,N,3,Occupied or vacant home: provided free of charge,YES,YES
AHS2015,ELECAMT,ELECAMT,N,833,$833 or more,YES,YES
AHS2015,ELECAMT,ELECAMT,N,.N,Not Applicable,YES,YES
AHS2015,ENTRYSYS,ENTRYSYS,C,1,Yes,YES,YES
AHS2015,ENTRYSYS,ENTRYSYS,C,2,No,YES,YES
AHS2015,ENTRYSYS,ENTRYSYS,C,M,Not Reported,YES,YES
AHS2015,ENTRYSYS,ENTRYSYS,C,N,Not Applicable,YES,YES
AHS2015,EXTCORD,EXTCORD,C,1,Uses cracked or worn extension cords,YES,YES
AHS2015,EXTCORD,EXTCORD,C,2,"Uses extension cords, but not cracked or worn",YES,YES
AHS2015,EXTCORD,EXTCORD,C,3,Does not use extension cords,YES,YES
AHS2015,EXTCORD,EXTCORD,C,M,Not Reported,YES,YES
AHS2015,EXTCORD,EXTCORD,C,N,Not Applicable,YES,YES
AHS2015,FAMLINE1,FAMLINE,C,0,Not a family,YES,YES
AHS2015,FAMLINE1,FAMLINE,C,1,Primary subfamily,YES,YES
AHS2015,FAMLINE1,FAMLINE,C,2,1st subfamily,YES,YES
AHS2015,FAMLINE1,FAMLINE,C,3,2nd subfamily,YES,YES
AHS2015,FAMLINE1,FAMLINE,C,4,3rd subfamily,YES,YES
AHS2015,FAMLINE1,FAMLINE,C,5,4th subfamily,YES,YES
AHS2015,FAMLINE1,FAMLINE,C,6,5th subfamily,YES,YES
AHS2015,FAMLINE1,FAMLINE,C,7,6th subfamily,YES,YES
AHS2015,FAMLINE1,FAMLINE,C,8,7th subfamily,YES,YES
AHS2015,FAMLINE1,FAMLINE,C,9,8th subfamily,YES,YES
AHS2015,FAMLINE10,FAMLINE,C,0,Not a family,YES,YES
AHS2015,FAMLINE10,FAMLINE,C,1,Primary subfamily,YES,YES
AHS2015,FAMLINE10,FAMLINE,C,2,1st subfamily,YES,YES
AHS2015,FAMLINE10,FAMLINE,C,3,2nd subfamily,YES,YES
AHS2015,FAMLINE10,FAMLINE,C,4,3rd subfamily,YES,YES
AHS2015,FAMLINE10,FAMLINE,C,5,4th subfamily,YES,YES
AHS2015,FAMLINE10,FAMLINE,C,6,5th subfamily,YES,YES
AHS2015,FAMLINE10,FAMLINE,C,7,6th subfamily,YES,YES
AHS2015,FAMLINE10,FAMLINE,C,8,7th subfamily,YES,YES
AHS2015,FAMLINE10,FAMLINE,C,9,8th subfamily,YES,YES
AHS2015,FAMLINE11,FAMLINE,C,0,Not a family,YES,YES
AHS2015,FAMLINE11,FAMLINE,C,1,Primary subfamily,YES,YES
AHS2015,FAMLINE11,FAMLINE,C,2,1st subfamily,YES,YES
AHS2015,FAMLINE11,FAMLINE,C,3,2nd subfamily,YES,YES
AHS2015,FAMLINE11,FAMLINE,C,4,3rd subfamily,YES,YES
AHS2015,FAMLINE11,FAMLINE,C,5,4th subfamily,YES,YES
AHS2015,FAMLINE11,FAMLINE,C,6,5th subfamily,YES,YES
AHS2015,FAMLINE11,FAMLINE,C,7,6th subfamily,YES,YES
AHS2015,FAMLINE11,FAMLINE,C,8,7th subfamily,YES,YES
AHS2015,FAMLINE11,FAMLINE,C,9,8th subfamily,YES,YES
AHS2015,FAMLINE12,FAMLINE,C,0,Not a family,YES,YES
AHS2015,FAMLINE12,FAMLINE,C,1,Primary subfamily,YES,YES
AHS2015,FAMLINE12,FAMLINE,C,2,1st subfamily,YES,YES
AHS2015,FAMLINE12,FAMLINE,C,3,2nd subfamily,YES,YES
AHS2015,FAMLINE12,FAMLINE,C,4,3rd subfamily,YES,YES
AHS2015,FAMLINE12,FAMLINE,C,5,4th subfamily,YES,YES
AHS2015,FAMLINE12,FAMLINE,C,6,5th subfamily,YES,YES
AHS2015,FAMLINE12,FAMLINE,C,7,6th subfamily,YES,YES
